Dataset,index,convo,inf_summ,label,Support
Dialfact,7782,"In Italy the names of specific pasta shapes or types often vary with locale. For example, the pasta form cavatelli is known by 28 different names depending upon the town and region Both dried and fresh pastas come in a number of shapes and varieties, with 310 specific forms known by over 1300 documented names",There are only 6 types of pasta shapes in Italy.,0,"For example, the pasta form cavatelli is known by 28 different names depending upon the town and region Both dried and fresh pastas come in a number of shapes and varieties, with 310 specific forms known by over 1300 documented names"
fever,1404,"Tijuana ( [ tiːˈwɑːnə ] ; [ tiˈxwana ] ) is the largest city in Baja California and on the Baja California Peninsula and center of the Tijuana metropolitan area , part of the international San Diego -- Tijuana metropolitan area . As the city has become a leading center in the country , so has the surrounding metropolitan area , a major industrial and paramount metropolis in northwestern Mexico . Tijuana is the 45th largest city in the Americas and is the westernmost city in Mexico .",Tijuana is in Southwestern Mexico.,0,"As the city has become a leading center in the country , so has the surrounding metropolitan area , a major industrial and paramount metropolis in northwestern Mexico ."
fever,2937,"Microbiologist . Most microbiologists specialize in environmental , food , agricultural , industrial or medical aspects of microbiology including : virology ( the study of viruses ) ; immunology ( the study of mechanisms that fight infections ) ; bioinformatics ( the methods for storing , retrieving , organizing and analyzing biological data ) and Bioremediation ( using microbes as environmental mitigation strategies ) . Because microbiologists specialize in the investigation of microorganisms that typically cause infection , their research commonly promotes information found in immunology , pathology , and molecular biology .",Microbiologist research promotes information found in immunology.,1,"Because microbiologists specialize in the investigation of microorganisms that typically cause infection , their research commonly promotes information found in immunology , pathology , and molecular biology ."
fever,12445,"Commodore (Royal Navy) . Commodore ( Cdre ) is a rank of the Royal Navy above captain and below rear admiral . Commodore is a naval rank used in many navies that is superior to a navy captain , but below a rear admiral .",Commodore is ranked superior to a navy captain.,1,Commodore ( Cdre ) is a rank of the Royal Navy above captain and below rear admiral .
fever,11969,"The Public Broadcasting Service ( PBS ) is an American public broadcaster and television program distributor . Headquartered in Arlington , Virginia , PBS is an independently operated non-profit organization and is the most prominent provider of television programming to public television stations in the United States , distributing series such as Keeping Up Appearances , BBC World News , NOVA scienceNOW , NOVA , Barney and Friends , Arthur , Sesame Street , PBS NewsHour , Walking with Dinosaurs , Masterpiece , Nature , American Masters , Frontline , and Antiques Roadshow . PBS is funded by member station dues , the Corporation for Public Broadcasting , government agencies , corporations , foundations and individual citizens .",PBS is a private broadcaster.,0,The Public Broadcasting Service ( PBS ) is an American public broadcaster and television program distributor .
fever,12246,"Team Fortress 2 ( TF2 ) is a team-based multiplayer first-person shooter video game developed and published by Valve Corporation . The development is led by John Cook and Robin Walker , creators of the original Team Fortress . Announced in 1998 , the game once had more realistic , militaristic visuals and gameplay , but this changed over the protracted nine-year development .",Team Fortress 2 was incapable of being developed.,0,Team Fortress 2 ( TF2 ) is a team-based multiplayer first-person shooter video game developed and published by Valve Corporation .
fever,4822,"Advertising is an audio or visual form of marketing communication that employs an openly sponsored , nonpersonal message to promote or sell a product , service or idea . Advertising is communicated through various mass media , including old media such as newspapers , magazines , Television , Radio , outdoor advertising or direct mail ; or new media such as search results , blogs , websites or text messages .",Advertising is barely an audio form of marketing communication.,0,"Advertising is an audio or visual form of marketing communication that employs an openly sponsored , nonpersonal message to promote or sell a product , service or idea ."
fever,15870,"Temple Mount . The location is the holiest site in Judaism and is the place Jews turn towards during prayer . In an attempt to keep the status quo , the Israeli government enforces a controversial ban on prayer by non-Muslims .",Temple Mount is where Jews turn away from during prayer.,0,Temple Mount . The location is the holiest site in Judaism and is the place Jews turn towards during prayer .
fever,321,"Moonlight is a 2016 American coming-of-age drama film written and directed by Barry Jenkins , based on Tarell Alvin McCraney 's unpublished semi-autobiographical play In Moonlight Black Boys Look Blue . Filmed in Miami , Florida , beginning in 2015 , Moonlight premiered at the Telluride Film Festival on September 2 , 2016 . Moonlight (TV series) . Moonlight was premiered on September 28 , 2007 , and shown on Friday nights on CBS .",Moonlight's filming began in 1815.,0,"Filmed in Miami , Florida , beginning in 2015 , Moonlight premiered at the Telluride Film Festival on September 2 , 2016 ."
fever,2808,"The Gifted is an upcoming American television series created for Fox by Matt Nix , based on Marvel Comics ' X-Men properties . It is connected to the X-Men film series , the second television series to be so . The series stars Stephen Moyer and Amy Acker as ordinary parents who take their family on the run after they discover their children 's mutant abilities . Sean Teale , Jamie Chung , Coby Bell , Emma Dumont , Blair Redford , Natalie Alyn Lind , and Percy Hynes White also star in the show .",The Gifted fails to be a television series.,0,"The Gifted is an upcoming American television series created for Fox by Matt Nix , based on Marvel Comics ' X-Men properties ."
